"Fecha","Estación","Clorofila_a_(lab_µg) (µg/L)","Coliformes Termotolerantes (Fecales) (Membrana Filtrante) (ufc/100ml)","Conductividad (µS/cm)","Enterococos (Sustrato Definido - Enterolet®) (NMP/100mL)","Escherichia coli (Memabrana Filtrante) (ufc/100ml)","Escherichia coli (Sustrato Definido - Colilert®) (NMP/100mL)","Floración Algal (sin unid)","Oxigeno disuelto (mg/L)","Potencial de hidrogeno (pH) (sin unid)","Salinidad (psu)","Standard value a (NO APLICA)","standard value b (NO APLICA)","Temperatura (ºC)","Transparencia (cm)","Turbidez (NTU)"
"2018-11-12 08:30:00","06SF","0","385","*","0","","0","0","*","7.85","0","0","0","22.5","0","*"
"2018-11-12 09:00:00","01AC","","225","","","","","NO","","7.65","","","","","",""
"2018-11-12 09:40:00","05SF","","125","","","","","NO","","8.73","","","","","",""
"2018-11-12 10:10:00","04SF","","10","","","","","NO","","7.95","","","","","",""
"2018-11-12 10:20:00","03LP","","95","","","","","NO","","7.88","","","","","",""
"2018-11-12 13:10:00","02SL","","<LD","","","","","NO","","8.2","","","","","",""
"2018-11-21 11:10:00","03LP","","250","","","","","NO","","7.84","","","","","",""
"2018-11-21 11:20:00","05SF","","155","","","","","NO","","7.88","","","","","",""
"2018-11-21 12:00:00","06SF","","150","","","","","NO","","7.81","","","","","",""
"2018-11-21 12:25:00","04SF","","80","","","","","NO","","7.87","","","","","",""
"2018-11-21 12:35:00","01AC","","90","","","","","NO","","7.65","","","","","",""
"2018-11-21 13:20:00","02SL","","80","","","","","NO","","8.2","","","","","",""
"2018-12-05 07:45:00","05SF","","100","","","","","NO","6.34","7.52","","","","","",""
"2018-12-05 08:10:00","06SF","","40","","","","","NO","7.21","7.86","","","","","",""
"2018-12-05 08:35:00","01AC","","100","","","","","NO","7.3","7.73","","","","","",""
"2018-12-05 09:30:00","04SF","","455","","","","","NO","6.31","7.68","","","","","",""
"2018-12-05 09:50:00","03LP","","180","","","","","NO","6.3","7.5","","","","","",""
"2018-12-05 12:30:00","02SL","","55","","","","","NO","6.85","8.14","","","","","",""
"2018-12-19 00:00:00","06SF","","","","","","","NO","","","","","","","",""
"2018-12-19 00:00:00","04SF","","540","","","","","NO","6.78","7.8","","","","","",""
"2018-12-19 00:00:00","03LP","","640","","","","","NO","6.3","7.82","","","","","",""
"2018-12-19 00:00:00","02SL","","1940","","","","","NO","6.85","7.9","","","","","",""
"2018-12-19 00:00:00","05SF","","470","","","","","NO","6.8","7.8","","","","","",""
"2018-12-19 10:00:00","01AC","","930","","","","","NO","7.3","7.9","","","","","",""
"2018-12-26 00:00:00","01AC","","360","","","","","NO","7.3","7.36","","","","","",""
"2018-12-26 00:00:00","03LP","","370","","","","","NO","6.31","7.3","","","","","",""
"2018-12-26 00:00:00","04SF","","10","","","","","NO","6.72","7.65","","","","","",""
"2018-12-26 00:00:00","05SF","","150","","","","","NO","6.81","7.6","","","","","",""
"2018-12-26 00:00:00","02SL","","250","","","","","NO","6.85","7.82","","","","","",""
"2018-12-26 08:30:00","06SF","","35","","","","","NO","6.65","7.72","","","","","",""
"2019-01-02 08:45:00","05SF","","130","287","","","","0","7.55","7.71","","","","","",""
"2019-01-02 09:00:00","06SF","","170","284","","","","0","7.41","7.21","","","","","",""
"2019-01-02 09:20:00","01AC","","490","297","","","","0","7.05","7.38","","","","","",""
"2019-01-23 08:30:00","01AC","","220","","","","","NO","7.06","7.43","","","","","",""
"2019-01-23 09:30:00","05SF","","10","","","","","NO","7.5","7.31","","","","","",""
"2019-01-23 09:45:00","04SF","","120","","","","","NO","7.54","7.28","","","","","",""
"2019-01-23 10:00:00","06SF","","170","","","","","NO","7.45","7.65","","","","","",""
"2019-01-23 10:30:00","03LP","","260","","","","","NO","6.32","7.5","","","","","",""
"2019-01-23 12:15:00","02SL","","50","","","","","NO","6.86","7.39","","","","","",""
"2019-02-07 09:00:00","01AC","","","","","","","NO","4.55","7.11","","","","","",""
"2019-02-07 09:35:00","06SF","","","","","","","NO","5.91","7.53","","","","","",""
"2019-02-07 10:00:00","05SF","","","","","","","NO","4.5","7.15","","","","","",""
"2019-02-07 10:15:00","04SF","","","","","","","NO","4.51","7.13","","","","","",""
"2019-02-07 10:30:00","03LP","","","","","","","NO","4.48","7.15","","","","","",""
"2019-02-07 12:30:00","02SL","","","","","","","NO","6.5","7.32","","","","","",""
"2019-02-27 09:30:00","05SF","","205","","","","","NO","6.72","7.6","","","","","","1.01"
"2019-02-27 10:00:00","06SF","","240","","","","","NO","7.05","7.81","","","","","","2.06"
"2019-02-27 10:30:00","01AC","","208","","","","","NO","7.02","7.83","","","","","","2.02"
"2019-02-27 10:45:00","03LP","","155","","","","","NO","6.25","7.83","","","","","","2.1"
"2019-02-27 11:30:00","04SF","","130","","","","","NO","6.3","7.71","","","","","","2.09"
"2019-02-27 12:15:00","02SL","","45","","","","","NO","7.28","7.81","","","","","","4.43"
"2019-03-07 00:00:00","03LP","","350","","","","","NO","7.15","7.82","","","","","","2.1"
"2019-03-07 00:00:00","06SF","","490","","","","","NO","5.65","7.8","","","","","","2.06"
"2019-03-07 00:00:00","02SL","","215","","","","","NO","6.32","7.93","","","","","","4.43"
"2019-03-07 00:00:00","04SF","","310","","","","","NO","4.01","7.51","","","","","","2.09"
"2019-03-07 00:00:00","05SF","","175","","","","","NO","4","7.49","","","","","","1.01"
"2019-03-07 09:00:00","01AC","","115","","","","","NO","7.06","7.85","","","","","","2.02"
"2019-11-20 09:30:00","06SF","","10","","","","","0","4.67","8.02","","","","21.6","","2.09"
"2019-11-20 10:00:00","01AC","","70","","","","","0","4.75","7.95","","","","20","","2.19"
"2019-11-20 10:35:00","03LP","","250","","","","","0","4.95","8.15","","","","21.5","","3.47"
"2019-11-20 12:30:00","02SL","","10","","","","","0","6.85","8.14","","","","21.9","","4.56"
"2019-11-25 08:40:00","01AC","","","*","","","","0","8.16","7.85","","","","20.9","","0.85"
"2019-11-25 09:15:00","06SF","","","*","","","","0","6.28","8.11","","","","19.2","","1.14"
"2019-11-25 10:15:00","03LP","","","*","","","","0","6.45","8.2","","","","20.9","","1.26"
"2019-11-25 12:15:00","02SL","","","*","","","","0","6.7","8.1","","","","21","","1.39"
"2019-12-02 08:00:00","02LDM","","50","92","","","","","","7.08","","","","23.4","",""
"2019-12-02 08:10:00","01SLC","","90","325","","","","","","7.74","","","","23.1","",""
"2019-12-02 09:00:00","01AC","","200","","","","","0","5.57","8.1","","","","19","","0.85"
"2019-12-02 09:45:00","06SF","","200","","","","","0","5.49","7.96","","","","20","","1.14"
"2019-12-02 10:05:00","03LP","","300","","","","","0","6.04","7.98","","","","18","","1.26"
"2019-12-02 12:30:00","02SL","","400","","","","","0","7.05","7.65","","","","18","","1.39"
"2019-12-09 08:30:00","01AC","","55","","","","","0","5.6","7.7","","","","19","",""
"2019-12-09 09:15:00","06SF","","65","*","","","","0","5.56","7.64","","","","20","",""
"2019-12-09 10:30:00","03LP","","25","*","","","","0","6.04","7.65","","","","18","",""
"2019-12-09 12:30:00","02SL","","20","*","","","","0","5.7","7.65","","","","19","",""
"2019-12-10 08:20:00","02LDM","","50","85.3","","","","","4.67","6.65","","","","25","",""
"2019-12-10 08:30:00","01SLC","","200","383","","","","","7.51","7.94","","","","25.1","",""
"2019-12-16 10:30:00","01AC","","100","","","","","0","6.7","7.6","","","","19","",""
"2019-12-16 11:30:00","06SF","","10","","","","","0","5.96","7.48","","","","20.1","",""
"2019-12-16 11:45:00","03LP","","30","","","","","0","5.6","7.46","","","","18.5","",""
"2019-12-16 13:15:00","02SL","","20","","","","","0","5.82","8.05","","","","20.1","",""
"2019-12-19 08:30:00","02LDM","","46","87.8","","","","","4.83","6.87","","","","24.4","",""
"2019-12-19 08:40:00","01SLC","","88","387","","","","","","7.53","","","","25.6","",""
"2019-12-23 08:20:00","02LDM","","54","89.4","","","","","","7.56","","","","25.8","",""
"2019-12-23 08:30:00","01SLC","","126","394","","","","","","7.46","","","","24.6","",""
"2019-12-26 09:00:00","01AC","","","","","","","0","5.7","7.8","","","","19.2","",""
"2019-12-26 09:30:00","06SF","","","","","","","0","5.81","7.73","","","","20.9","",""
"2019-12-26 10:20:00","03LP","","","","","","","0","5.75","7.68","","","","19","",""
"2019-12-26 12:35:00","02SL","","","","","","","0","5.85","8.5","","","","19.4","",""
"2019-12-30 08:30:00","01SLC","","94","413","","","","","7.15","8.14","","","","28.6","",""
"2019-12-31 08:20:00","02LDM","","56","90.9","","","","","","7.51","","","","27.3","",""
"2020-01-05 12:40:00","04SF","","145","","","","","0E-9","5.85","6.35","","","","20","","1.19"
"2020-01-07 08:20:00","02LDM","","52","92.1","","","","","5.39","7.18","","","","24.9","",""
"2020-01-07 08:30:00","01SLC","","154","342","","","","","6.64","7.73","","","","24.3","",""
"2020-01-08 08:30:00","01AC","","26","","","","","0","5.72","7.52","","","","18.5","","1.29"
"2020-01-08 09:15:00","06SF","","180","","","","","0","4.76","7.6","","","","21.9","","0.92"
"2020-01-08 09:40:00","03LP","","373","","","","","0","5.8","7.62","","","","19","","0.89"
"2020-01-08 12:30:00","02SL","","1053","","","","","0","5.9","7.8","","","","19","","1.94"
"2020-01-13 08:20:00","02LDM","","120","93.7","","","","","5.82","6.85","","","","25.3","",""
"2020-01-13 08:30:00","01SLC","","1500","390","","","","","7.45","7.9","","","","25.4","",""
"2020-01-16 08:45:00","06SF","","1630","","","","","0","5.95","7.7","","","","20.3","","4.9"
"2020-01-16 09:50:00","01AC","","1760","","","","","0","6.1","7.72","","","","19.4","","4.8"
"2020-01-16 10:30:00","03LP","","2100","","","","","0","6.22","7.8","","","","19","","4.35"
"2020-01-16 12:30:00","02SL","","640","","","","","0","8","7.85","","","","21","","14.1"
"2020-01-20 08:20:00","02LDM","","420","93.7","","","","","","7.11","","","","26.3","",""
"2020-01-20 08:30:00","01SLC","","1100","309","","","","","","7.52","","","","25.8","",""
"2020-01-27 08:20:00","02LDM","","210","95","","","","","5.83","7.3","","","","25.6","",""
"2020-01-27 08:30:00","01SLC","","220","330","","","","","6.58","7.9","","","","25.6","",""
"2020-01-27 08:30:00","01AC","","680","","","","","0","6.15","7.45","","","","20.1","","1.3"
"2020-01-27 09:15:00","06SF","","980","","","","","0","4.7","7.5","","","","22.6","","1.42"
"2020-01-27 09:55:00","03LP","","950","","","","","0","5.92","7.52","","","","21","","1.43"
"2020-01-27 13:00:00","02SL","","350","","","","","0","4.95","7.5","","","","18.1","","2.66"
"2020-02-05 08:20:00","02LDM","","140","","","","","","","7.44","","","","","",""
"2020-02-05 08:30:00","01SLC","","100","","","","","","","7.33","","","","","",""
"2020-02-12 08:15:00","01AC","","442","","","","","0","5.52","7.62","","","","19","","1.73"
"2020-02-12 09:00:00","06SF","","180","","","","","0","5.48","7.6","","","","20.6","","2.03"
"2020-02-12 09:20:00","06SF","","180","","","","","0","5.48","7.6","","","","20.6","","2.03"
"2020-02-12 10:15:00","03LP","","777","","","","","0","5.3","7.51","","","","21.8","","1.14"
"2020-02-12 12:40:00","02SL","","362","","","","","0","5.62","7.63","","","","21.3","","1.52"
"2020-02-13 08:20:00","02LDM","","140","","","","","","","","","","","","",""
"2020-02-13 08:30:00","01SLC","","2000","","","","","","","","","","","","",""
"2020-02-17 09:00:00","01AC","","462","","","","","NO","6.2","7.7","","","","22","","1.45"
"2020-02-17 09:45:00","02SL","","462","","","","","NO","7.8","7.62","","","","23.4","","1.24"
"2020-02-17 10:15:00","03LP","","507","","","","","NO","6.75","7.6","","","","21.5","","1.16"
"2020-02-17 12:40:00","06SF","","255","","","","","NO","7.1","7.61","","","","21.4","","1.8"
"2020-02-26 07:50:00","02LDM","","72","101.7","","","","","","7.03","","","","21.2","",""
"2020-02-26 08:00:00","01SLC","","3900","374","","","","","","7.88","","","","21.4","",""
"2020-02-26 09:20:00","01AC","","60","","","","","NO","9.4","7.6","","","","20.4","","1.75"
"2020-02-26 10:00:00","06SF","","320","","","","","NO","9","7.82","","","","19.8","","9.4"
"2020-02-26 10:40:00","03LP","","240","","","","","NO","8.98","7.81","","","","20.3","","1.12"
"2020-02-26 12:30:00","02SL","","60","","","","","NO","9.02","7.52","","","","18.8","","1.2"
"2020-02-27 14:10:00","01SLC","","900","","","","","","","","","","","","",""
"2020-02-28 08:30:00","01SLC","","60","377","","","","","","7.96","","","","24.6","",""
"2020-02-29 11:15:00","01SLC","","56","383","","","","","","7.57","","","","27.8","",""
"2020-03-01 10:30:00","01SLC","","200","390","","","","","","7.75","","","","24.8","",""
"2020-03-02 08:20:00","02LDM","","170","101.6","","","","","7.05","6.67","","","","24","",""
"2020-03-02 08:30:00","01SLC","","240","397","","","","","7.17","7.85","","","","24.2","",""
"2020-03-03 09:30:00","01AC","","160","","","","","NO","","7.6","","","","24.9","","19.6"
"2020-03-03 10:00:00","06SF","","330","","","","","NO","","7.59","","","","20.9","","64.2"
"2020-03-03 10:45:00","02SL","","130","","","","","NO","","7.64","","","","19.4","","19.8"
"2020-03-09 10:20:00","02LDM","","230","102.3","","","","","6.87","6.92","","","","26.6","",""
"2020-03-09 10:25:00","01SLC","","80","422","","","","","7.46","7.8","","","","26.2","",""
"2020-04-20 10:05:00","02LDM","","160","108","","","","","8.52","7.03","","","","19.9","",""
"2020-04-20 10:20:00","01SLC","","64","453","","","","","8.41","8.01","","","","19.3","",""
"2020-05-20 10:30:00","01SLC","","52","441","","","","","9.34","7.5","","","","15.9","",""
"2020-05-20 10:40:00","02LDM","","58","107.2","","","","","9.67","6.93","","","","15.8","",""
"2020-07-07 10:30:00","02LDM","","290","82.4","","","","","9.84","6.67","","","","10.5","",""
"2020-07-07 10:40:00","01SLC","","450","169.7","","","","","8.09","6.84","","","","8.7","",""
"2020-08-12 10:30:00","02LDM","","98","94.8","","","","","","7.1","","","","12.2","",""
"2020-08-12 10:40:00","01SLC","","64","410","","","","","","7.59","","","","12.3","",""
"2020-09-10 08:00:00","02LDM","","78","89.9","","","","","","6.92","","","","15","",""
"2020-09-10 08:10:00","01SLC","","110","167.7","","","","","","7.31","","","","13.7","",""
"2020-10-15 08:00:00","02LDM","","120","93.5","","","","","7.86","7.55","","","","","",""
"2020-10-15 08:10:00","01SLC","","58","330","","","","","8.66","7.81","","","","","",""
"2020-10-29 09:10:00","01AC","","130","","","","","0E-9","7.87","7.35","","","","19","","3.48"
"2020-10-29 09:45:00","06SF","","120","","","","","0E-9","7.18","7.41","","","","17.4","","1.64"
"2020-10-29 10:15:00","03LP","","165","","","","","0E-9","7.38","7.4","","","","19.1","","1.55"
"2020-10-29 11:30:00","02SL","","40","","","","","0E-9","7.4","7.38","","","","17","","2.74"
"2020-11-04 08:44:00","01AC","","210","","","","","0E-9","8.5","7.31","","","","18.9","","2.47"
"2020-11-04 09:37:00","06SF","","100","","","","","0E-9","4.52","7.45","","","","16.7","","1.27"
"2020-11-04 10:05:00","03LP","","30","","","","","0E-9","7.45","7.4","","","","17.5","","1.41"
"2020-11-04 11:40:00","02SL","","70","","","","","0E-9","7.4","7.5","","","","18.5","","1.69"
"2020-11-11 09:15:00","01AC","","","","","","","0E-9","8.7","7.45","","","","21.1","",""
"2020-11-11 09:50:00","06SF","","","","","","","0E-9","5.5","7.36","","","","18.9","",""
"2020-11-11 10:00:00","02LDM","","64","90.7","","","","","6.7","7.43","","","","21.7","",""
"2020-11-11 10:10:00","01SLC","","84","352","","","","","7.3","7.32","","","","22.6","",""
"2020-11-11 12:20:00","03LP","","","","","","","0E-9","6.81","7.88","","","","21.4","",""
"2020-11-11 12:45:00","02SL","","","","","","","0E-9","7.4","7.65","","","","19.4","",""
"2020-11-16 07:30:00","02LDM","","120","90.8","","","","","3.79","7.37","","","","19.1","",""
"2020-11-16 07:40:00","01SLC","","250","367","","","","","6.66","7.08","","","","17","",""
"2020-11-18 08:40:00","01AC","","","","","","","0E-9","7.9","7.4","","","","17","","1.2"
"2020-11-18 09:07:00","06SF","","","","","","","0E-9","6.85","7.54","","","","18.7","","1.8"
"2020-11-18 09:30:00","03LP","","","","","","","0E-9","7.5","7.5","","","","19.1","","1.52"
