"Fecha","Estación","Alacloro (µg/L)","Aldrin (µg/L)","Atrazina (µg/L)","Azoxiestrobina (µg/L)","Bifentrina (µg/L)","Cipermetrina (µg/L)","Clorantraniliprol (µg/L)","Clordano Cis (µg/L)","Clordano Trans (µg/L)","Clorpirifos (µg/L)","Deltametrina (µg/L)","Diazinon (µg/L)","Dieldrin (µg/L)","Endosulfan alfa (µg/L)","Endosulfan beta (µg/L)","Endosulfan sulfato (µg/L)","Endrin (µg/L)","Etil Paration (µg/L)","Etion (µg/L)","Fipronil (µg/L)","Fósforo total (µg P/L)","Heptacloro (µg/L)","Heptacloro Epoxido (µg/L)","Hexaclorobenceno (µg/L)","Lambda_Cialotrina (µg/L)","Lindano (µg/L)","Malathion (µg/L)","Metil Paration (µg/L)","Metoxicloro (µg/L)","Mirex (µg/L)","Nitrógeno total Kjeldhal (mg N/L)","o,p' DDT (µg/L)","Permetrina (µg/L)","p,p' DDD (µg/L)","p,p' DDE (µg/L)","p,p' DDT (µg/L)","Propanil (µg/L)","Simazina (µg/L)"
"2017-08-18 09:30:00","CG03","","","","","","","","","","","","","","","","","","","","","31.4","","","","","","","","","","2979","","","","","","",""
"2017-08-18 09:38:00","CG02","","","","","","","","","","","","","","","","","","","","","83.4","","","","","","","","","","3011","","","","","","",""
"2017-10-20 09:20:00","CG03","","","","","","","","","","","","","","","","","","","","","87.4","","","","","","","","","","1000","","","","","","",""
"2017-10-20 09:49:00","CG02","","","","","","","","","","","","","","","","","","","","","118","","","","","","","","","","1056","","","","","","",""
"2017-12-15 08:39:00","CG03","","","","","","","","","","","","","","","","","","","","","670","","","","","","","","","","3200","","","","","","",""
"2017-12-15 09:02:00","CG02","","","","","","","","","","","","","","","","","","","","","500","","","","","","","","","","2800","","","","","","",""
"2018-02-23 08:45:00","CG03","","","","","","","","","","","","","","","","","","","","","510","","","","","","","","","","2400","","","","","","",""
"2018-02-23 09:04:00","CG02","","","","","","","","","","","","","","","","","","","","","390","","","","","","","","","","2600","","","","","","",""
"2018-04-27 09:00:00","CG03","","","","","","","","","","","","","","","","","","","","","560","","","","","","","","","","3500","","","","","","",""
"2018-04-27 09:25:00","CG02","","","","","","","","","","","","","","","","","","","","","390","","","","","","","","","","3100","","","","","","",""
"2018-06-13 12:42:00","PS03","","","","","","","","","","","","","","","","","","","","","560","","","","","","","","","","3700","","","","","","",""
"2018-06-13 13:37:00","PS02","","","","","","","","","","","","","","","","","","","","","820","","","","","","","","","","3400","","","","","","",""
"2018-08-17 09:17:00","CG03","","","","","","","","","","","","","","","","","","","","","600","","","","","","","","","","2300","","","","","","",""
"2018-08-17 09:42:00","CG02","","","","","","","","","","","","","","","","","","","","","500","","","","","","","","","","2300","","","","","","",""
"2018-10-17 12:57:00","PS02","","","","","","","","","","","","","","","","","","","","","430","","","","","","","","","","2400","","","","","","",""
"2018-10-17 13:37:00","PS03","","","","","","","","","","","","","","","","","","","","","610","","","","","","","","","","2700","","","","","","",""
"2018-10-19 09:08:00","CG03","","","","","","","","","","","","","","","","","","","","","740","","","","","","","","","","2100","","","","","","",""
"2018-10-19 09:30:00","CG02","","","","","","","","","","","","","","","","","","","","","490","","","","","","","","","","1600","","","","","","",""
"2018-12-12 12:45:00","PS03","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","660","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","3800","<LC","<LC","<LC","<LC","<LC","<LC","<LC"
"2018-12-12 13:40:00","PS02","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","1000","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","4100","<LC","<LC","<LC","<LC","<LC","<LC","<LC"
"2019-02-22 09:25:00","CG03","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","660","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","900","<LC","<LC","<LC","<LC","<LC","<LC","<LC"
"2019-02-22 09:53:00","CG02","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","590","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","2600","<LC","<LC","<LC","<LC","<LC","<LC","<LC"
"2019-04-24 12:00:00","PS03","<LC","<LC","<LC","<LC","<LC","<LC","","<LC","<LC","<LC","<LC","<LC","<LC","","","","<LC","<LC","<LC","","430","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","2800","<LC","<LC","<LC","<LC","<LC","","<LC"
"2019-04-24 12:40:00","PS02","<LC","<LC","<LC","<LC","<LC","<LC","","<LC","<LC","<LC","<LC","<LC","<LC","","","","<LC","<LC","<LC","","370","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","3300","<LC","<LC","<LC","<LC","<LC","","<LC"
"2019-04-26 09:30:00","CG03","<LC","<LC","<LC","<LC","<LC","<LC","","<LC","<LC","<LC","<LC","<LC","<LC","","","","<LC","<LC","<LC","","520","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","2800","<LC","<LC","<LC","<LC","<LC","","<LC"
"2019-04-26 09:50:00","CG02","<LC","<LC","<LC","<LC","<LC","<LC","","<LC","<LC","<LC","<LC","<LC","<LC","","","","<LC","<LC","<LC","","490","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","2700","<LC","<LC","<LC","<LC","<LC","","<LC"
"2019-06-14 09:10:00","CG03","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","640","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","2600","<LC","<LC","<LC","<LC","<LC","<LC","<LC"
"2019-06-14 09:58:00","CG02","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","720","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","3200","<LC","<LC","<LC","<LC","<LC","<LC","<LC"
"2019-08-16 09:04:00","CG03","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","330","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","2600","<LC","<LC","<LC","<LC","<LC","<LC","<LC"
"2019-08-16 09:32:00","CG02","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","460","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","1800","<LC","<LC","<LC","<LC","<LC","<LC","<LC"
"2019-10-23 12:30:00","PS02","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","710","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","4100","<LC","<LC","<LC","<LC","<LC","<LC","<LC"
"2019-10-23 13:15:00","PS03","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","860","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","2500","<LC","<LC","<LC","<LC","<LC","<LC","<LC"
"2019-10-25 09:00:00","CG03","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","650","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","2700","<LC","<LC","<LC","<LC","<LC","<LC","<LC"
"2019-10-25 09:30:00","CG02","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","650","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","2800","<LC","<LC","<LC","<LC","<LC","<LC","<LC"
"2019-12-11 11:55:00","PS03","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","400","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","2100","<LC","<LC","<LC","<LC","<LC","<LC","<LC"
"2019-12-11 12:55:00","PS02","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","730","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","3500","<LC","<LC","<LC","<LC","<LC","<LC","<LC"
"2019-12-13 09:00:00","CG03","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","550","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","2100","<LC","<LC","<LC","<LC","<LC","<LC","<LC"
"2019-12-13 09:25:00","CG02","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","360","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","<LC","2900","<LC","<LC","<LC","<LC","<LC","<LC","<LC"
"2020-02-18 12:45:00","PS03","","","","","","","","","","","","","","","","","","","","","580","","","","","","","","","","3700","","","","","","",""
"2020-02-18 13:45:00","PS02","","","","","","","","","","","","","","","","","","","","","950","","","","","","","","","","3700","","","","","","",""
"2020-02-20 09:25:00","CG03","","","","","","","","","","","","","","","","","","","","","830","","","","","","","","","","2300","","","","","","",""
"2020-08-12 12:52:00","PS02","","","","","","","","","","","","","","","","","","","","","380","","","","","","","","","","2900","","","","","","",""
"2020-08-12 13:10:00","PS03","","","","","","","","","","","","","","","","","","","","","700","","","","","","","","","","3200","","","","","","",""
"2020-10-14 12:50:00","PS03","","","","","","","","","","","","","","","","","","","","","590000","","","","","","","","","","3800","","","","","","",""
"2020-10-14 13:30:00","PS02","","","","","","","","","","","","","","","","","","","","","890000","","","","","","","","","","4100","","","","","","",""
"2020-10-16 09:20:00","CG03","","","","","","","","","","","","","","","","","","","","","590000","","","","","","","","","","3000","","","","","","",""
"2020-10-16 09:40:00","CG02","","","","","","","","","","","","","","","","","","","","","540000","","","","","","","","","","3500","","","","","","",""
